name,artist,track_URI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist
Money - 2011 Remastered Version,Pink Floyd,spotify:track:3aoDEt6zSuYQ47gzarlaVo,0.0241,0.469,0.537,0.00201,0.269,-10.421,0.152,124.193,0.783,Nova playlist 2
Who Are You,The Who,spotify:track:64HCsmzpvUpSTM4mNAOR5S,0.317,0.655,0.739,0.000266,0.0987,-7.778,0.0575,155.129,0.503,Nova playlist 2
Last Nite,The Strokes,spotify:track:7kzKAuUzOITUauHAhoMoxA,0.0285,0.624,0.91,0.000198,0.0789,-5.703,0.0297,104.042,0.767,Nova playlist 2
You Know I'm No Good,Amy Winehouse,spotify:track:4SyowQi18ym4zJGJDBnsTj,0.0132,0.705,0.806,0.00428,0.0701,-3.607,0.0309,103.383,0.734,Nova playlist 2
Tears Dry On Their Own,Amy Winehouse,spotify:track:3jP3coGrROR7kjiDlpoRph,0.491,0.643,0.871,0.0,0.29,-2.734,0.118,121.569,0.452,Nova playlist 2
Senhor Do Tempo,Charlie Brown Jr.,spotify:track:6C6315RjrDrqj1oqaJVGY8,0.762,0.771,0.631,0.00454,0.108,-7.276,0.0382,97.054,0.644,Nova playlist 2
Anjos (Pra quem tem fé) - Versão completa,O Rappa,spotify:track:2fouwOFRsS5LmrCJVLe40X,0.106,0.601,0.865,0.000188,0.165,-4.153,0.045,105.02,0.46,Nova playlist 2
Minha alma (A paz que eu não quero),O Rappa,spotify:track:2sqZ2r9v70VYUXbaQY4CXA,0.0693,0.356,0.913,2.77e-06,0.937,-6.844,0.268,103.619,0.315,Nova playlist 2
Natasha - Ao Vivo,Capital Inicial,spotify:track:3BbGbnqvF2hJjbK3uCYq1M,0.00421,0.374,0.935,0.157,0.984,-5.729,0.0689,76.545,0.413,Nova playlist 2
Exagerado,Cazuza,spotify:track:4d0DpU7Odiv0ztvX2GxJlk,0.0874,0.678,0.663,0.0161,0.615,-7.726,0.0307,136.388,0.822,Nova playlist 2
Breezeblocks,alt-J,spotify:track:33OdSmu4AdBViAXDbCEqK3,0.11,0.609,0.642,0.000986,0.172,-7.337,0.0341,150.087,0.296,Nova playlist 2
Let Me In - From The Fault in Our Stars Soundtrack,Grouplove,spotify:track:4WUduEPZZG6wiE9B5IklnY,0.00397,0.476,0.744,0.000173,0.0982,-6.602,0.0515,127.934,0.159,Nova playlist 2
The Walker,Fitz and The Tantrums,spotify:track:46EOWTszdIfllYY4o6rjkY,0.00375,0.77,0.801,0.00281,0.0515,-4.182,0.0336,130.76,0.725,Nova playlist 2
"Dias De Luta, Dias De Gloria",Charlie Brown Jr.,spotify:track:006pMMCuRo2TFjh8sNGSov,0.888,0.346,0.433,0.0,0.101,-10.602,0.065,77.963,0.768,Nova playlist 2
O Vagabundo e a Dama,Oriente,spotify:track:7MQJYm0QPF2Vf0UtzKapSc,0.0654,0.715,0.85,0.0,0.413,-6.321,0.246,178.095,0.935,Nova playlist 2
Bored To Death,blink-182,spotify:track:44TuSOP6xIAEeJmZsN3nXO,0.00575,0.502,0.966,1.56e-06,0.117,-3.876,0.0946,159.948,0.638,Nova playlist 2
She's Out Of Her Mind,blink-182,spotify:track:6EE19skJ32p58xihYj2Waa,0.00448,0.447,0.967,0.0,0.487,-2.706,0.0793,179.991,0.606,Nova playlist 2
