ANO,IBGE7,NOME,IDEB_AF,POP_TOT
2013,1600709,Tartarugalzinho,3.5,14292
2013,1600808,Vitória do Jari,3.3,13724
2013,1700251,Abreulândia,3.8,2506
2013,1700301,Aguiarnópolis,3.2,5820
2013,1700350,Aliança do Tocantins,4.9,5686
2013,1700400,Almas,3.9,7553
2013,1700707,Alvorada,4.6,8557
2013,1701002,Ananás,3.8,9952
2013,1701051,Angico,3.3,3332
2013,1701101,Aparecida do Rio Negro,3.9,4504
2013,1701309,Aragominas,3.5,5958
2013,1701903,Araguacema,3.9,6716
2013,1702000,Araguaçu,4.8,8868
2013,1702109,Araguaína,3.6,164093
2013,1702158,Araguanã,4.1,5379
2013,1702208,Araguatins,3.8,33524
2013,1702307,Arapoema,3.4,6844
2013,1702406,Arraias,4,10833
2013,1702554,Augustinópolis,3.6,17140
2013,1702703,Aurora do Tocantins,3.9,3625
2013,1702901,Axixá do Tocantins,3.2,9632
2013,1703008,Babaçulândia,3.3,10720
2013,1703057,Bandeirantes do Tocantins,4.1,3336
2013,1703073,Barra do Ouro,3.4,4371
2013,1703107,Barrolândia,3.2,5557
2013,1703206,Bernardo Sayão,4.7,4547
2013,1703305,Bom Jesus do Tocantins,4.5,4241
2013,1703602,Brasilândia do Tocantins,3.1,2154
2013,1703701,Brejinho de Nazaré,3.5,5400
2013,1703800,Buriti do Tocantins,3.8,10522
2013,1703826,Cachoeirinha,3.7,2236
2013,1703842,Campos Lindos,3.5,9000
2013,1703867,Cariri do Tocantins,4.4,4053
2013,1703883,Carmolândia,2.9,2457
2013,1703891,Carrasco Bonito,3.2,3906
2013,1703909,Caseara,3.5,4965
2013,1704105,Centenário,3.5,2737
2013,1704600,Chapada de Areia,4.4,1386
2013,1705102,Chapada da Natividade,3,3362
2013,1705508,Colinas do Tocantins,4.3,33078
2013,1705557,Combinado,4.4,4827
2013,1705607,Conceição do Tocantins,2.6,4240
2013,1706001,Couto Magalhães,2.9,5314
2013,1706100,Cristalândia,3.3,7399
2013,1706258,Crixás do Tocantins,3.4,1651
2013,1706506,Darcinópolis,3.8,5670
2013,1707009,Dianópolis,3.6,20566
2013,1707108,Divinópolis do Tocantins,4.4,6681
2013,1707207,Dois Irmãos do Tocantins,3.3,7319
2013,1707306,Dueré,3.2,4718
2013,1707405,Esperantina,3.2,10203
2013,1707553,Fátima,3.1,3892
2013,1707652,Figueirópolis,4,5421
2013,1707702,Filadélfia,2.7,8800
2013,1708205,Formoso do Araguaia,3.9,18804
2013,1708254,Fortaleza do Tabocão,4.2,2527
2013,1708304,Goianorte,3.5,5115
2013,1709005,Goiatins,3.3,12644
2013,1709302,Guaraí,3.2,24629
2013,1709500,Gurupi,4.1,81792
2013,1709807,Ipueiras,3.4,1804
2013,1710508,Itacajá,3.8,7363
2013,1710706,Itaguatins,3.5,6092
2013,1710904,Itapiratins,3.7,3690
2013,1711100,Itaporã do Tocantins,3.2,2488
2013,1711506,Jaú do Tocantins,3.7,3698
2013,1711803,Juarina,3.9,2262
2013,1711902,Lagoa da Confusão,3.8,11525
2013,1711951,Lagoa do Tocantins,3.9,3875
2013,1712009,Lajeado,3.8,2956
2013,1712157,Lavandeira,4,1749
2013,1712405,Lizarda,3.7,3806
2013,1712454,Luzinópolis,3,2847
2013,1712504,Marianópolis do Tocantins,3.9,4730
2013,1712702,Mateiros,3.8,2430
2013,1712801,Maurilândia do Tocantins,3.4,3313
2013,1713205,Miracema do Tocantins,3.8,20243
2013,1713304,Miranorte,3.6,13164
2013,1713601,Monte do Carmo,3.7,7286
2013,1713700,Monte Santo do Tocantins,3.5,2196
2013,1713809,Palmeiras do Tocantins,3.8,6180
2013,1713957,Muricilândia,3.9,3356
2013,1714203,Natividade,3.7,9268
2013,1714302,Nazaré,3.7,4301
2013,1714880,Nova Olinda,3.4,11301
2013,1715002,Nova Rosalândia,3.8,4018
2013,1715101,Novo Acordo,3,4043
2013,1715150,Novo Alegre,3.1,2349
2013,1715259,Novo Jardim,3.1,2600
2013,1715507,Oliveira de Fátima,2.6,1085
2013,1715705,Palmeirante,3.5,5432
2013,1715754,Palmeirópolis,4.2,7600
2013,1716109,Paraíso do Tocantins,3.8,47724
2013,1716208,Paranã,3.1,10585
2013,1716307,Pau D&apos;Arco,3.9,4772
2013,1716505,Pedro Afonso,3.9,12490
2013,1716604,Peixe,4.1,11075
2013,1716653,Pequizeiro,3.9,5305
2013,1716703,Colméia,4,8642
2013,1717008,Pindorama do Tocantins,3.6,4576
2013,1717206,Piraquê,3.5,3017
2013,1717503,Pium,3.8,7168
2013,1717800,Ponte Alta do Bom Jesus,3.7,4654
2013,1717909,Ponte Alta do Tocantins,3.3,7628
2013,1718006,Porto Alegre do Tocantins,4.1,2973
2013,1718204,Porto Nacional,4,51501
2013,1718303,Praia Norte,3.5,8085
2013,1718402,Presidente Kennedy,4.3,3756
2013,1718451,Pugmil,2.9,2529
2013,1718501,Recursolândia,3.2,4029
2013,1718550,Riachinho,2.9,4435
2013,1718659,Rio da Conceição,3.3,1895
2013,1718709,Rio dos Bois,3.1,2715
2013,1718758,Rio Sono,3.7,6459
2013,1718808,Sampaio,3.6,4241
2013,1718840,Sandolândia,3.6,3411
2013,1718865,Santa Fé do Araguaia,3.6,7054
2013,1718881,Santa Maria do Tocantins,3.4,3143
2013,1718899,Santa Rita do Tocantins,4.1,2255
2013,1718907,Santa Rosa do Tocantins,3.4,4752
2013,1719004,Santa Tereza do Tocantins,3.8,2695
2013,1720002,Santa Terezinha do Tocantins,3.9,2543
2013,1720101,São Bento do Tocantins,3,4954
2013,1720150,São Félix do Tocantins,3.5,1518
2013,1720200,São Miguel do Tocantins,2.9,11271
2013,1720259,São Salvador do Tocantins,3.4,3030
2013,1720309,São Sebastião do Tocantins,3,4553
2013,1720499,São Valério,4.4,4322
2013,1720655,Silvanópolis,3.5,5289
2013,1720804,Sítio Novo do Tocantins,3.1,9297
2013,1720853,Sucupira,3.7,1856
2013,1720903,Taguatinga,3.9,15931
2013,1720937,Taipas do Tocantins,3.6,2056
2013,1720978,Talismã,4,2695
2013,1721000,Palmas,4.6,257904
2013,1721109,Tocantínia,3.7,7158
2013,1721208,Tocantinópolis,3.3,23165
2013,1721257,Tupirama,4.2,1718
2013,1721307,Tupiratins,3.3,2342
2013,1722081,Wanderlândia,4,11450
2013,1722107,Xambioá,3.9,11736
2013,2100055,Açailândia,3.6,107790
2013,2100105,Afonso Cunha,2.7,6197
2013,2100154,Água Doce do Maranhão,2.9,12028
2013,2100204,Alcântara,3.4,21644
2013,2100303,Aldeias Altas,3.1,25177
2013,2100402,Altamira do Maranhão,3.3,11564
2013,2100436,Alto Alegre do Maranhão,3,25748
2013,2100477,Alto Alegre do Pindaré,3.7,31253
2013,2100501,Alto Parnaíba,3.3,10904
2013,2100550,Amapá do Maranhão,3.4,6669
2013,2100600,Amarante do Maranhão,3.2,39544
2013,2100709,Anajatuba,3.2,26339
2013,2100808,Anapurus,2.9,14815
2013,2100832,Apicum-Açu,3.1,17474
2013,2100873,Araguanã,3.3,14658
2013,2100907,Araioses,2.9,44317
2013,2100956,Arame,3,31867
2013,2101004,Arari,,28986
2013,2101103,Axixá,3.7,11706
2013,2101202,Bacabal,3.7,101851
2013,2101251,Bacabeira,3.5,15982
2013,2101301,Bacuri,3,17164
2013,2101350,Bacurituba,3.5,5440
2013,2101400,Balsas,3.3,89126
2013,2101509,Barão de Grajaú,3.6,18074
2013,2101608,Barra do Corda,3.7,85022
2013,2101707,Barreirinhas,3.2,58599
2013,2101731,Belágua,3,7105
